cap.4383535	cap.4386223	cap.4388092	cap.4391097	cap.4391244	cap.4395785	pcp.4311574	pcp.4378760	pcp.4383785	pcp.4385354	pcp.4386363	pcp.4388658
k__Bacteria|p__Candidatus_Cloacimonetes|g__Candidatus_Cloacimonas|s__Candidatus_Cloacimonas_acidaminovorans	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.137986533618211	0
k__Bacteria|p__Fibrobacteres	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Balneolaeota	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Balneolaeota|g__Candidatus_Cyclonatronum	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Balneolaeota|g__Candidatus_Cyclonatronum|s__Candidatus_Cyclonatronum_proteinivorum	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Calditrichaeota	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Calditrichaeota|c__Calditrichae	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Nitrospirae	0	0	0	0	0	0	0.217335379859864	0.0539315274541137	0	0.151884137919303	0.413959600854633	0.0498172305445781
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales|f__Dissulfurispiraceae	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales|f__Dissulfurispiraceae|g__Dissulfurispira	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales|f__Dissulfurispiraceae|g__Dissulfurispira|s__Dissulfurispira_thermophila	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira	0	0	0	0	0	0	0.217335379859864	0.0539315274541137	0	0.0607536551677211	0.413959600854633	0.0498172305445781
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	0	0	0	0	0	0	0.217335379859864	0.0539315274541137	0	0.0607536551677211	0.413959600854633	0.0498172305445781
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	0	0	0	0	0	0	0.217335379859864	0.0539315274541137	0	0.0607536551677211	0.413959600854633	0.0498172305445781
