cap.4383535	cap.4386223	cap.4388092	cap.4391097	cap.4391244	cap.4395785	pcp.4311574	pcp.4378760	pcp.4383785	pcp.4385354	pcp.4386363	pcp.4388658
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp._StRB126	0.0299095985375163	0	0	0.0569929331612527	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp._3008163	0.0598191970750327	0.0278016887746623	0.244654572820272	0.0569929331612527	0	0.0830944506368275	0	0.107863054908227	0.0722065140962279	0.303768275838605	0.413959600854633	0.0498172305445781
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp._T16E-39	0.0598191970750327	0	0	0	0	0	0.0724451266199545	0	0	0.151884137919303	0.0689932668091056	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp._JV274	0.747739963437909	0	0.428145502435475	0.626922264773779	0.138854352725714	0.0830944506368275	1.15912202591927	0	0.0722065140962279	0.121507310335442	1.93181147065496	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus	0.0598191970750327	0	0.795127361665882	0	0.277708705451427	0.747850055731448	0.507115886339682	0.215726109816455	0.108309771144342	1.85298648261549	3.93261620811902	0.498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	0.0598191970750327	0	0.795127361665882	0	0.277708705451427	0.747850055731448	0.507115886339682	0.215726109816455	0.108309771144342	1.85298648261549	3.93261620811902	0.498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	0	0	0.0611636432050679	0	0	0	0	0	0	0	0.0689932668091056	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales|f__Trueperaceae	0	0	0.0611636432050679	0	0	0	0	0	0	0	0.0689932668091056	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales|f__Trueperaceae|g__Truepera	0	0	0.0611636432050679	0	0	0	0	0	0	0	0.0689932668091056	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales|f__Trueperaceae|g__Truepera|s__Truepera_radiovictrix	0	0	0.0611636432050679	0	0	0	0	0	0	0	0.0689932668091056	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	0	0	0.122327286410136	0	0.166625223270856	0.249283351910483	0.362225633099773	0.0539315274541137	0.0361032570481139	0.121507310335442	3.38067007364617	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae	0	0	0.122327286410136	0	0.166625223270856	0.249283351910483	0.362225633099773	0.0539315274541137	0.0361032570481139	0.121507310335442	3.38067007364617	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Oceanithermus	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Oceanithermus|s__Oceanithermus_profundus	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Marinithermus	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Marinithermus|s__Marinithermus_hydrothermalis	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0.137986533618211	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_ruber	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_taiwanensis	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_silvanus	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus	0	0	0.0611636432050679	0	0.138854352725714	0.166188901273655	0.362225633099773	0.0539315274541137	0.0361032570481139	0.0911304827515816	3.10469700640975	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_parvatiensis	0	0	0	0	0	0	0	0	0	0.0303768275838605	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_thermophilus	0	0	0	0	0	0	0	0	0.0361032570481139	0.0303768275838605	0.344966334045528	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_sp._CCB_US3_UF1	0	0	0	0	0	0	0.0724451266199545	0	0	0	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_aquaticus	0	0	0	0	0	0	0.0724451266199545	0.0539315274541137	0	0	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_caldilimi	0	0	0	0	0.0277708705451427	0	0.0724451266199545	0	0	0	0.206979800427317	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_oshimai	0	0	0	0	0.0277708705451427	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_scotoductus	0	0	0	0	0.0277708705451427	0.0830944506368275	0	0	0	0	1.79382493703674	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_brockianus	0	0	0.0611636432050679	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	0.0598191970750327	0	0.611636432050679	0	0.111083482180571	0.498566703820965	0.144890253239909	0.107863054908227	0.0722065140962279	1.73147917228005	0.482952867663739	0.448355074901202
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0.0598191970750327	0	0.611636432050679	0	0.111083482180571	0.498566703820965	0.144890253239909	0.107863054908227	0.0722065140962279	1.73147917228005	0.482952867663739	0.448355074901202
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus	0.0598191970750327	0	0.611636432050679	0	0.111083482180571	0.498566703820965	0.144890253239909	0.107863054908227	0.0722065140962279	1.73147917228005	0.482952867663739	0.448355074901202
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_radiodurans	0	0	0	0	0	0	0	0	0	0	0	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_peraridilitoris	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_maricopensis	0	0	0	0	0	0	0	0	0	0.0607536551677211	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_metallilatus	0	0	0	0	0	0	0	0	0.0361032570481139	0	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_actinosclerus	0	0	0	0	0	0	0	0.0539315274541137	0	0.0607536551677211	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_ficus	0	0	0	0	0	0	0.0724451266199545	0	0	0.0607536551677211	0.0689932668091056	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_proteolyticus	0	0	0	0	0	0.0830944506368275	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_geothermalis	0	0	0	0	0	0.33237780254731	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_irradiatisoli	0	0	0	0	0.0277708705451427	0	0	0	0	0	0	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_wulumuqiensis	0	0	0.0611636432050679	0	0	0	0	0	0.0361032570481139	0.0303768275838605	0	0.149451691633734
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_swuensis	0	0	0.122327286410136	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._S14-83	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._NW-56	0	0	0.0611636432050679	0	0	0	0.0724451266199545	0.0539315274541137	0	0.0303768275838605	0.137986533618211	0.0498172305445781
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_gobiensis	0	0	0.183490929615204	0	0.0277708705451427	0.0830944506368275	0	0	0	1.1543194481867	0.0689932668091056	0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._AJ005	0.0598191970750327	0	0	0	0.0277708705451427	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes	0.209367189762614	0.222413510197298	0.733963718460815	0.626922264773779	0.777584375263997	0.166188901273655	0.362225633099773	1.40221971380696	0.144413028192456	10.3281213785126	1.03489900213658	0.199268922178312
k__Bacteria|p__Tenericutes|g__Candidatus_Izimaplasma	0	0	0	0	0.0277708705451427	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Tenericutes|g__Candidatus_Izimaplasma|s__Candidatus_Izimaplasma_sp._HR1	0	0	0	0	0.0277708705451427	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes	0.209367189762614	0.222413510197298	0.733963718460815	0.626922264773779	0.749813504718854	0.166188901273655	0.362225633099773	1.40221971380696	0.144413028192456	10.3281213785126	0.965905735327478	0.199268922178312
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	0	0.0278016887746623	0.183490929615204	0.113985866322505	0.0833126116354282	0	0.217335379859864	0.269657637270569	0	0.243014620670884	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae	0	0.0278016887746623	0.183490929615204	0.113985866322505	0.0833126116354282	0	0.217335379859864	0.269657637270569	0	0.243014620670884	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus_Phytoplasma	0	0	0.0611636432050679	0.0569929331612527	0.0555417410902855	0	0	0.107863054908227	0	0.121507310335442	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus_Phytoplasma|s__Candidatus_Phytoplasma_luffae	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus_Phytoplasma|s__Candidatus_Phytoplasma_solani	0	0	0	0	0.0277708705451427	0	0	0.0539315274541137	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus_Phytoplasma|s__Candidatus_Phytoplasma_mali	0	0	0	0.0569929331612527	0.0277708705451427	0	0	0.0539315274541137	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus_Phytoplasma|s__Candidatus_Phytoplasma_australiense	0	0	0.0611636432050679	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma	0	0.0278016887746623	0.122327286410136	0.0569929331612527	0.0277708705451427	0	0.217335379859864	0.161794582362341	0	0.121507310335442	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma_axanthum	0	0	0	0	0	0	0.0724451266199545	0.107863054908227	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma_hippikon	0	0	0	0.0569929331612527	0	0	0.0724451266199545	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma_palmae	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma_laidlawii	0	0	0.0611636432050679	0	0	0	0	0.0539315274541137	0	0.0911304827515816	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma_brassicae	0	0.0278016887746623	0	0	0.0277708705451427	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	0.089728795612549	0.111206755098649	0.366981859230407	0.455943465290021	0.583188281447998	0.166188901273655	0.0724451266199545	0.593246801995251	0.144413028192456	7.29043862012653	0.482952867663739	0.0498172305445781
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	0.089728795612549	0.111206755098649	0.366981859230407	0.455943465290021	0.583188281447998	0.166188901273655	0.0724451266199545	0.593246801995251	0.144413028192456	7.29043862012653	0.482952867663739	0.0498172305445781
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma	0	0.0278016887746623	0.0611636432050679	0.0569929331612527	0	0	0.0724451266199545	0.107863054908227	0	0.182260965503163	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_urealyticum	0	0	0	0	0	0	0	0.0539315274541137	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_parvum	0	0	0.0611636432050679	0.0569929331612527	0	0	0.0724451266199545	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_diversum	0	0.0278016887746623	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma	0	0.0556033775493245	0.305818216025339	0.341957598967516	0.249937834906285	0.166188901273655	0	0.43145221963291	0.144413028192456	6.40951062019458	0.206979800427317	0.0498172305445781
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_neurolyticum	0	0	0	0	0	0	0	0	0	0	0	0.0498172305445781
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_nasistruthionis	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_crocodyli	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_ovis	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_iowae	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_penetrans	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_tullyi	0	0	0	0	0	0	0	0	0	0.0607536551677211	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_phocicerebrale	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_haemocanis	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_struthionis	0	0	0	0	0	0	0	0	0	0.182260965503163	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_putrefaciens	0	0	0	0	0	0	0	0	0	0.212637793087024	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_capricolum	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_mycoides	0	0	0	0	0	0	0	0	0	0.151884137919303	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._1654_15	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._OR1901	0	0	0	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._NEAQ87857	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._Pen4	0	0	0	0	0	0	0	0	0	0.182260965503163	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._Phocoena_C-264-GEN	0	0	0	0	0	0	0	0	0.0361032570481139	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_genitalium	0	0	0	0	0	0	0	0	0.0361032570481139	0.243014620670884	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_conjunctivae	0	0	0	0	0	0.0830944506368275	0	0	0.0361032570481139	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._Mirounga_ES2806-NAS	0	0	0	0	0	0.0830944506368275	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_orale	0	0	0	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_anserisalpingitidis	0	0	0	0	0.0277708705451427	0	0	0	0.0361032570481139	0.151884137919303	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_gallisepticum	0	0	0	0	0.0277708705451427	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_hyopneumoniae	0	0	0	0	0.0277708705451427	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._C264-NAS	0	0	0	0	0.0277708705451427	0	0	0.0539315274541137	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_hominis	0	0	0	0	0.0555417410902855	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_canadense	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_hyosynoviae	0	0	0.0611636432050679	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_salivarium	0	0	0.183490929615204	0.341957598967516	0.0555417410902855	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_hyorhinis	0	0.0278016887746623	0	0	0	0	0	0.0539315274541137	0	0.243014620670884	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_sp._Zaradi2	0	0.0278016887746623	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis	0.089728795612549	0.0278016887746623	0	0.0569929331612527	0.333250446541713	0	0	0.0539315274541137	0	0.637913379261072	0.275973067236422	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_bovis	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_columbinum	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_felis	0	0	0	0	0	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_californicum	0	0	0	0	0	0	0	0	0	0.0607536551677211	0.137986533618211	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_anatis	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_canis	0	0	0	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_bovirhinis	0	0	0	0	0.0277708705451427	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_bovigenitalium	0	0	0	0	0.0277708705451427	0	0	0	0	0.151884137919303	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_gallinaceum	0	0	0	0	0.222166964361142	0	0	0	0	0.121507310335442	0.0689932668091056	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_edwardii	0	0	0	0.0569929331612527	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_gallopavonis	0	0.0278016887746623	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_maculosum	0.0299095985375163	0	0	0	0	0	0	0.0539315274541137	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_phocirhinis	0.0299095985375163	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasmopsis|s__Mycoplasma_citelli	0.0299095985375163	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	0.119638394150065	0.0834050663239868	0.122327286410136	0.0569929331612527	0.0833126116354282	0	0.0724451266199545	0.43145221963291	0	2.76429131013131	0.344966334045528	0.149451691633734
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales|f__Entomoplasmataceae	0.0299095985375163	0.0556033775493245	0	0	0.0277708705451427	0	0.0724451266199545	0.0539315274541137	0	0.486029241341769	0.0689932668091056	0.0498172305445781
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales|f__Entomoplasmataceae|g__Entomoplasma	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
